Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	0.9696969696969697	-inf	33	0.946	0.0001	8.984488789240519
70000	0.7435897435897436	-inf	39	0.9369999999999999	0.0001	2.302228208382924
80000	0.3181818181818182	-inf	44	0.9279999999999999	0.0001	2.292699921131134
90000	0.16	-inf	50	0.919	0.0001	2.180538042386373
100000	0.0	-inf	56	0.91	0.0001	2.021750517686208
110000	-0.03278688524590164	-inf	61	0.901	0.0001	1.9729581713676452
120000	0.11940298507462686	-inf	67	0.892	0.0001	2.3729358673095704
130000	0.1643835616438356	-inf	73	0.883	0.0001	2.1103059728940328
140000	0.16666666666666666	-inf	78	0.874	0.0001	2.041750466823578
150000	0.39285714285714285	-inf	84	0.865	0.0001	2.1316036780675254
160000	0.3258426966292135	-inf	89	0.856	0.0001	2.3231382767359414
170000	0.37894736842105264	-inf	95	0.847	0.0001	2.4985471248626707
180000	0.31	0.31	101	0.838	0.0001	2.4932376583417257
190000	0.2	0.37	106	0.829	0.0001	2.2691550970077516
200000	0.06	0.37	112	0.82	0.0001	2.0245659510294596
210000	0.23	0.37	118	0.8109999999999999	0.0001	2.097275908788045
220000	0.31	0.37	123	0.802	0.0001	2.0498026808102927
230000	0.12	0.37	129	0.7929999999999999	0.0001	2.6356311480204266
240000	0.14	0.37	134	0.784	0.0001	2.086263076464335
250000	0.52	0.52	140	0.775	0.0001	2.141565263271332
260000	0.9	0.91	146	0.766	0.0001	2.1538284023602805
270000	1.16	1.19	151	0.757	0.0001	2.1686048030853273
280000	1.17	1.37	157	0.748	0.0001	2.5528493603070577
290000	1.02	1.37	162	0.739	0.0001	2.4040378530820212
300000	0.99	1.37	168	0.73	0.0001	2.4433329701423645
310000	1.32	1.37	174	0.721	0.0001	2.140711863835653
320000	1.85	1.85	179	0.712	0.0001	2.178993566830953
330000	2.24	2.38	185	0.703	0.0001	2.2094356775283814
340000	2.44	2.44	191	0.694	0.0001	2.3185829798380535
350000	2.57	2.57	196	0.685	0.0001	2.236886711915334
360000	2.45	2.57	202	0.6759999999999999	0.0001	2.227269109090169
370000	2.55	2.57	207	0.667	0.0001	2.258965746561686
380000	3.15	3.15	213	0.6579999999999999	0.0001	2.2683952411015826
390000	3.4	3.72	219	0.649	0.0001	2.927598027388255
400000	3.75	3.75	224	0.6399999999999999	0.0001	2.334222849210103
410000	4.29	4.29	230	0.631	0.0001	2.3611446221669516
420000	4.46	4.52	236	0.622	0.0001	2.580311592419942
430000	4.65	4.69	241	0.613	0.0001	2.5158538301785787
440000	4.65	4.69	247	0.604	0.0001	2.310763923327128
450000	4.47	4.7	252	0.595	0.0001	2.3136143883069358
460000	4.96	4.96	258	0.586	0.0001	2.3520450830459594
470000	5.49	5.49	264	0.577	0.0001	2.350777745246887
480000	5.16	5.49	269	0.5680000000000001	0.0001	2.492109441757202
490000	5.31	5.49	275	0.5589999999999999	0.0001	2.436958865324656
500000	5.54	5.82	280	0.55	0.0001	2.394705375035604
510000	5.14	5.82	286	0.5409999999999999	0.0001	2.4279614528020224
520000	6.05	6.05	292	0.532	0.0001	2.4463337222735086
530000	6.07	6.07	297	0.5229999999999999	0.0001	2.5416470567385354
540000	6.39	6.39	303	0.514	0.0001	2.608936580022176
550000	6.64	6.75	309	0.5049999999999999	0.0001	2.7507250706354776
560000	6.23	6.75	314	0.4959999999999999	0.0001	2.5448589881261188
570000	5.86	6.75	320	0.487	0.0001	2.545980620384216
580000	5.53	6.75	325	0.478	0.0001	2.617219865322113
590000	4.84	6.75	331	0.469	0.0001	2.824455948670705
600000	4.71	6.75	337	0.45999999999999996	0.0001	3.2181644439697266
610000	4.54	6.75	342	0.45099999999999996	0.0001	3.1735031326611836
620000	4.67	6.75	348	0.44199999999999995	0.0001	3.766671280066172
630000	4.99	6.75	353	0.43299999999999994	0.0001	3.273967711130778
640000	4.49	6.75	359	0.42399999999999993	0.0001	3.1209079106648763
650000	4.75	6.75	365	0.4149999999999999	0.0001	3.2913435300191245
660000	5.28	6.75	370	0.4059999999999999	0.0001	2.933559469381968
670000	4.71	6.75	376	0.3969999999999999	0.0001	3.0095898191134136
680000	4.84	6.75	382	0.3879999999999999	0.0001	3.025464137395223
690000	5.25	6.75	387	0.379	0.0001	2.8967761437098187
700000	4.59	6.75	393	0.37	0.0001	3.0793445348739623
710000	4.83	6.75	399	0.361	0.0001	2.8001027663548785
720000	4.73	6.75	404	0.352	0.0001	2.7927937746047973
730000	4.99	6.75	410	0.34299999999999997	0.0001	2.895609895388285
740000	5.14	6.75	416	0.33399999999999996	0.0001	2.8751606067021687
750000	5.42	6.75	421	0.32499999999999996	0.0001	2.873708434899648
760000	6.53	6.75	427	0.31599999999999995	0.0001	2.867248026529948
770000	7.02	7.05	433	0.30699999999999994	0.0001	2.8583677927652995
