Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	1.36	1.82	342	0.946	0.0001	15.735625267028809
70000	1.33	1.82	402	0.9369999999999999	0.0001	3.9590926925341288
80000	1.23	1.82	463	0.9279999999999999	0.0001	5.035932230949402
90000	1.44	1.82	519	0.919	0.0001	4.378274710973104
100000	1.48	1.82	577	0.91	0.0001	4.07480305035909
110000	1.46	1.82	633	0.901	0.0001	4.037777082125346
120000	1.62	1.82	689	0.892	0.0001	4.0840136885643
130000	1.29	1.82	752	0.883	0.0001	4.2225876728693645
140000	1.46	1.82	806	0.874	0.0001	4.109287027517954
150000	1.41	1.82	866	0.865	0.0001	4.246441467603048
160000	1.46	1.82	923	0.856	0.0001	5.248294770717621
170000	1.42	1.82	982	0.847	0.0001	5.346822452545166
180000	1.56	1.82	1037	0.838	0.0001	4.447749745845795
190000	1.59	1.82	1092	0.829	0.0001	4.235993874073029
200000	1.63	1.82	1149	0.82	0.0001	4.113492858409882
210000	1.32	1.82	1210	0.8109999999999999	0.0001	4.208767374356587
220000	1.35	1.82	1267	0.802	0.0001	4.1006503661473594
230000	1.51	1.82	1326	0.7929999999999999	0.0001	4.394770328203837
240000	1.58	1.82	1380	0.784	0.0001	4.366223669052124
250000	1.47	1.82	1439	0.775	0.0001	4.180340305964152
260000	1.46	1.82	1496	0.766	0.0001	4.291618756453196
270000	1.55	1.82	1552	0.757	0.0001	4.217104593912761
280000	1.65	1.82	1609	0.748	0.0001	4.230379021167755
290000	1.51	1.82	1667	0.739	0.0001	4.299919255574545
300000	1.49	1.82	1724	0.73	0.0001	4.2653515060742695
310000	1.41	1.82	1783	0.721	0.0001	4.324332892894745
320000	1.46	1.82	1841	0.712	0.0001	4.3377232869466145
330000	1.62	1.82	1897	0.703	0.0001	4.466472029685974
340000	1.52	1.82	1956	0.694	0.0001	4.416875847180685
350000	1.24	1.82	2017	0.685	0.0001	4.644391250610352
360000	1.35	1.82	2076	0.6759999999999999	0.0001	4.537356301148733
370000	1.29	1.82	2137	0.667	0.0001	4.482681715488434
380000	1.44	1.82	2195	0.6579999999999999	0.0001	4.478153002262116
390000	1.48	1.82	2253	0.649	0.0001	4.475475200017294
400000	1.42	1.82	2314	0.6399999999999999	0.0001	4.444514711697896
410000	1.41	1.82	2373	0.631	0.0001	4.531999961535136
420000	1.18	1.82	2436	0.622	0.0001	4.470073779424031
430000	1.36	1.82	2493	0.613	0.0001	4.611655735969544
440000	1.53	1.82	2550	0.604	0.0001	4.665401756763458
450000	1.63	1.82	2607	0.595	0.0001	4.651667539278666
460000	1.46	1.82	2667	0.586	0.0001	5.364354538917541
470000	1.49	1.82	2724	0.577	0.0001	4.645516371726989
480000	1.78	1.82	2775	0.5680000000000001	0.0001	4.675452411174774
490000	1.87	1.9	2829	0.5589999999999999	0.0001	5.062484633922577
500000	1.64	1.9	2889	0.55	0.0001	5.291706836223602
510000	1.59	1.9	2942	0.5409999999999999	0.0001	5.430643872419993
520000	1.9	1.93	2994	0.532	0.0001	5.157525078455607
