Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-9.277777777777779	-inf	18	0.946	0.0001	17.113937819004057
70000	-9.476190476190476	-inf	21	0.9369999999999999	0.0001	3.779365571339925
80000	-9.583333333333334	-inf	24	0.9279999999999999	0.0001	3.7236226121584575
90000	-9.555555555555555	-inf	27	0.919	0.0001	3.969483828544617
100000	-9.733333333333333	-inf	30	0.91	0.0001	4.349772886435191
110000	-9.727272727272727	-inf	33	0.901	0.0001	3.887811621030172
120000	-9.805555555555555	-inf	36	0.892	0.0001	4.570033939679464
130000	-9.64102564102564	-inf	39	0.883	0.0001	4.52341703971227
140000	-9.5	-inf	42	0.874	0.0001	3.968540072441101
150000	-9.355555555555556	-inf	45	0.865	0.0001	4.006252737840017
160000	-9.1875	-inf	48	0.856	0.0001	4.017487712701162
170000	-9.27450980392157	-inf	51	0.847	0.0001	4.108900797367096
180000	-9.185185185185185	-inf	54	0.838	0.0001	4.169714752833048
190000	-9.105263157894736	-inf	57	0.829	0.0001	4.146563069025675
200000	-9.433333333333334	-inf	60	0.82	0.0001	4.692056830724081
210000	-9.492063492063492	-inf	63	0.8109999999999999	0.0001	5.3393643498420715
220000	-9.5	-inf	66	0.802	0.0001	5.4514211297035216
230000	-9.53623188405797	-inf	69	0.7929999999999999	0.0001	4.086890482902527
240000	-9.625	-inf	72	0.784	0.0001	4.103411237398784
250000	-9.573333333333334	-inf	75	0.775	0.0001	4.156423072020213
260000	-9.64102564102564	-inf	78	0.766	0.0001	4.142718199888865
270000	-9.716049382716049	-inf	81	0.757	0.0001	4.330247096220652
280000	-9.845238095238095	-inf	84	0.748	0.0001	4.331104811032613
290000	-9.919540229885058	-inf	87	0.739	0.0001	4.3034935116767885
300000	-9.944444444444445	-inf	90	0.73	0.0001	4.251051421960195
310000	-10.064516129032258	-inf	93	0.721	0.0001	4.216795802116394
320000	-10.0	-inf	96	0.712	0.0001	4.167460433642069
330000	-10.01010101010101	-inf	99	0.703	0.0001	4.158078793684641
340000	-10.12	-10.11	102	0.694	0.0001	4.207757715384165
350000	-10.29	-10.11	105	0.685	0.0001	4.311828843752543
360000	-10.34	-10.11	108	0.6759999999999999	0.0001	4.194622194766998
370000	-10.41	-10.11	111	0.667	0.0001	4.437141621112824
380000	-10.5	-10.11	114	0.6579999999999999	0.0001	4.327083651224772
390000	-10.49	-10.11	117	0.649	0.0001	4.394799681504567
400000	-10.54	-10.11	120	0.6399999999999999	0.0001	4.31459405819575
410000	-10.53	-10.11	123	0.631	0.0001	4.484701844056447
420000	-10.62	-10.11	125	0.622	0.0001	5.083029973506927
430000	-10.8	-10.11	128	0.613	0.0001	4.517707546552022
440000	-10.96	-10.11	131	0.604	0.0001	4.47937110265096
450000	-10.91	-10.11	134	0.595	0.0001	4.479253617922465
460000	-11.19	-10.11	137	0.586	0.0001	4.48472752571106
470000	-11.39	-10.11	140	0.577	0.0001	4.498772275447846
480000	-11.54	-10.11	143	0.5680000000000001	0.0001	4.591604030132293
490000	-11.72	-10.11	146	0.5589999999999999	0.0001	4.6094917019208275
500000	-11.88	-10.11	149	0.55	0.0001	5.175661873817444
510000	-12.05	-10.11	151	0.5409999999999999	0.0001	4.9225456317265825
520000	-12.24	-10.11	154	0.532	0.0001	4.752516027291616
530000	-12.43	-10.11	157	0.5229999999999999	0.0001	4.935101226965586
540000	-12.48	-10.11	160	0.514	0.0001	5.030112735430399
550000	-12.63	-10.11	163	0.5049999999999999	0.0001	5.20954426129659
560000	-12.74	-10.11	166	0.4959999999999999	0.0001	5.310108578205108
570000	-12.93	-10.11	169	0.487	0.0001	5.086634874343872
580000	-13.04	-10.11	172	0.478	0.0001	4.985569775104523
590000	-13.23	-10.11	175	0.469	0.0001	5.227181124687195
600000	-13.31	-10.11	177	0.45999999999999996	0.0001	5.373538728555044
610000	-13.55	-10.11	180	0.45099999999999996	0.0001	5.571698502699534
620000	-13.52	-10.11	183	0.44199999999999995	0.0001	5.490032871564229
630000	-13.45	-10.11	186	0.43299999999999994	0.0001	5.485982716083527
640000	-13.59	-10.11	189	0.42399999999999993	0.0001	5.453125540415446
650000	-13.73	-10.11	192	0.4149999999999999	0.0001	5.641207190354665
660000	-13.91	-10.11	195	0.4059999999999999	0.0001	6.591517980893453
670000	-14.11	-10.11	198	0.3969999999999999	0.0001	6.294114470481873
680000	-14.21	-10.11	201	0.3879999999999999	0.0001	5.444395716985067
690000	-14.23	-10.11	204	0.379	0.0001	5.729213146368663
700000	-14.22	-10.11	206	0.37	0.0001	4.992851396401723
710000	-14.41	-10.11	209	0.361	0.0001	3.17085063457489
720000	-14.44	-10.11	212	0.352	0.0001	2.9632763544718426
730000	-14.54	-10.11	215	0.34299999999999997	0.0001	3.5386945168177286
740000	-14.71	-10.11	218	0.33399999999999996	0.0001	4.028111346562704
750000	-14.86	-10.11	221	0.32499999999999996	0.0001	3.4757918039957683
760000	-14.96	-10.11	223	0.31599999999999995	0.0001	3.453446102142334
770000	-15.02	-10.11	226	0.30699999999999994	0.0001	3.1033951163291933
780000	-15.02	-10.11	229	0.29799999999999993	0.0001	2.9563509305318196
790000	-14.9	-10.11	232	0.2889999999999999	0.0001	3.029272373517354
800000	-15.12	-10.11	235	0.2799999999999999	0.0001	2.9649763822555544
810000	-15.03	-10.11	238	0.2709999999999999	0.0001	3.255720396836599
820000	-14.96	-10.11	241	0.262	0.0001	3.5878933231035868
830000	-14.83	-10.11	244	0.253	0.0001	3.3415047605832418
840000	-15.04	-10.11	247	0.244	0.0001	3.0137893040974935
850000	-14.93	-10.11	249	0.235	0.0001	3.012862475713094
860000	-14.89	-10.11	252	0.22599999999999998	0.0001	3.0012210965156556
870000	-14.99	-10.11	255	0.21699999999999997	0.0001	2.9911408027013144
880000	-15.19	-10.11	258	0.20799999999999996	0.0001	3.024220287799835
890000	-15.12	-10.11	261	0.19899999999999995	0.0001	3.196726695696513
900000	-15.11	-10.11	264	0.18999999999999995	0.0001	3.468680274486542
910000	-15.2	-10.11	266	0.18099999999999994	0.0001	3.5612098574638367
920000	-15.23	-10.11	269	0.17199999999999993	0.0001	3.069188292821248
930000	-15.25	-10.11	272	0.16299999999999992	0.0001	3.1227421124776202
940000	-15.23	-10.11	275	0.15400000000000003	0.0001	3.1967222094535828
950000	-15.18	-10.11	278	0.14500000000000002	0.0001	3.146982725461324
960000	-15.2	-10.11	281	0.136	0.0001	3.118973505496979
970000	-15.31	-10.11	284	0.127	0.0001	3.14169207016627
980000	-15.5	-10.11	287	0.118	0.0001	3.13005268573761
990000	-15.52	-10.11	289	0.10899999999999999	0.0001	3.181528162956238
1000000	-15.44	-10.11	292	0.1	0.0001	3.5965696970621743
1010000	-15.43	-10.11	295	0.09982857142857143	0.0001	3.2697964787483214
1020000	-15.48	-10.11	298	0.09965714285714286	0.0001	3.229399788379669
1030000	-15.6	-10.11	301	0.09948571428571429	0.0001	3.1949734608332316
1040000	-15.62	-10.11	304	0.09931428571428572	0.0001	3.2266781171162924
1050000	-15.77	-10.11	306	0.09914285714285714	0.0001	3.222766943772634
1060000	-15.64	-10.11	309	0.09897142857142857	0.0001	3.2105727195739746
1070000	-15.75	-10.11	312	0.0988	0.0001	3.251386559009552
1080000	-15.78	-10.11	315	0.09862857142857144	0.0001	3.219548277060191
1090000	-15.75	-10.11	318	0.09845714285714287	0.0001	3.465285237630208
1100000	-15.69	-10.11	321	0.0982857142857143	0.0001	3.351883868376414
1110000	-15.82	-10.11	324	0.09811428571428572	0.0001	3.271500845750173
1120000	-15.79	-10.11	326	0.09794285714285715	0.0001	3.2726375460624695
1130000	-15.87	-10.11	329	0.09777142857142858	0.0001	3.7522969325383504
1140000	-15.93	-10.11	332	0.0976	0.0001	3.9481950402259827
1150000	-15.71	-10.11	335	0.09742857142857143	0.0001	3.8759293437004088
