Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	0.0	-inf	98	0.946	0.0001	16.79289879798889
70000	0.0	0.0	118	0.9369999999999999	0.0001	3.6951388637224833
80000	0.0	0.0	134	0.9279999999999999	0.0001	3.8100595911343893
90000	0.0	0.0	155	0.919	0.0001	3.8277674674987794
100000	0.0	0.0	176	0.91	0.0001	3.933991773923238
110000	0.0	0.0	195	0.901	0.0001	5.016693556308747
120000	0.0	0.0	215	0.892	0.0001	4.1522741436958315
130000	0.0	0.0	235	0.883	0.0001	4.120999201138814
140000	0.0	0.0	247	0.874	0.0001	3.9719635248184204
150000	1.0	1.0	259	0.865	0.0001	4.000018270810445
160000	1.0	1.0	275	0.856	0.0001	4.052648464838664
170000	1.0	1.0	294	0.847	0.0001	4.146971321105957
180000	1.0	1.0	311	0.838	0.0001	4.142250879605611
190000	1.0	1.0	330	0.829	0.0001	5.038034947713216
200000	0.0	1.0	349	0.82	0.0001	5.562134087085724
210000	0.0	1.0	367	0.8109999999999999	0.0001	4.3212131778399145
220000	0.0	1.0	387	0.802	0.0001	4.081867476304372
230000	0.0	1.0	406	0.7929999999999999	0.0001	4.03669421672821
240000	0.0	1.0	420	0.784	0.0001	4.161505242188771
250000	0.0	1.0	436	0.775	0.0001	4.151463401317597
260000	0.0	1.0	454	0.766	0.0001	4.250116908550263
270000	0.0	1.0	473	0.757	0.0001	4.328462012608846
280000	0.0	1.0	490	0.748	0.0001	4.357404482364655
290000	0.0	1.0	499	0.739	0.0001	4.257705171902974
300000	0.0	1.0	520	0.73	0.0001	4.433507784207662
310000	0.0	1.0	540	0.721	0.0001	4.254383647441864
320000	0.0	1.0	560	0.712	0.0001	4.243128701051076
330000	0.0	1.0	578	0.703	0.0001	4.214950215816498
340000	0.0	1.0	596	0.694	0.0001	4.276631247997284
350000	0.0	1.0	615	0.685	0.0001	4.192113415400187
360000	0.0	1.0	633	0.6759999999999999	0.0001	4.395300535360972
370000	0.0	1.0	654	0.667	0.0001	4.2848605195681255
380000	0.0	1.0	673	0.6579999999999999	0.0001	4.46098169485728
390000	0.0	1.0	695	0.649	0.0001	4.408312412103017
400000	0.0	1.0	716	0.6399999999999999	0.0001	4.390986438592275
410000	0.0	1.0	736	0.631	0.0001	4.506972761948903
420000	0.0	1.0	755	0.622	0.0001	4.363893743356069
430000	0.0	1.0	772	0.613	0.0001	4.472446902592977
440000	0.0	1.0	789	0.604	0.0001	4.3769507050514225
450000	0.0	1.0	807	0.595	0.0001	4.501276878515879
460000	0.0	1.0	825	0.586	0.0001	4.497139040629069
470000	0.0	1.0	846	0.577	0.0001	4.598404598236084
480000	0.0	1.0	862	0.5680000000000001	0.0001	4.528658040364584
490000	0.0	1.0	882	0.5589999999999999	0.0001	5.134048453966776
500000	0.0	1.0	904	0.55	0.0001	4.715419844786326
510000	0.0	1.0	925	0.5409999999999999	0.0001	4.741035044193268
520000	0.0	1.0	945	0.532	0.0001	5.002588411172231
530000	0.0	1.0	967	0.5229999999999999	0.0001	5.124896399180094
540000	0.0	1.0	990	0.514	0.0001	5.2287055651346845
550000	0.0	1.0	1013	0.5049999999999999	0.0001	5.6303752342859905
560000	0.0	1.0	1033	0.4959999999999999	0.0001	5.13425438006719
570000	0.0	1.0	1055	0.487	0.0001	4.984311012427012
580000	0.0	1.0	1076	0.478	0.0001	5.147980089982351
590000	0.0	1.0	1099	0.469	0.0001	5.420112649599711
600000	0.0	1.0	1118	0.45999999999999996	0.0001	5.657173804442087
610000	0.0	1.0	1137	0.45099999999999996	0.0001	5.534629027048747
620000	0.0	1.0	1157	0.44199999999999995	0.0001	5.634530711174011
630000	0.0	1.0	1176	0.43299999999999994	0.0001	5.494498753547669
640000	0.0	1.0	1196	0.42399999999999993	0.0001	5.521763070424398
650000	0.0	1.0	1223	0.4149999999999999	0.0001	6.850944928328196
660000	0.0	1.0	1249	0.4059999999999999	0.0001	6.3245317498842875
670000	0.0	1.0	1274	0.3969999999999999	0.0001	5.4174234628677365
