Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
60000	-20.317460317460316	-inf	63	0.946	0.0001	11.078929285208384
70000	-20.31081081081081	-inf	74	0.9369999999999999	0.0001	3.1575820008913675
80000	-20.352941176470587	-inf	85	0.9279999999999999	0.0001	2.996017050743103
90000	-20.322916666666668	-inf	96	0.919	0.0001	3.0511640588442486
100000	-20.29	-20.29	107	0.91	0.0001	3.027371581395467
110000	-20.3	-20.27	117	0.901	0.0001	3.006832190354665
120000	-20.27	-20.25	128	0.892	0.0001	3.164841365814209
130000	-20.24	-20.23	139	0.883	0.0001	3.006040159861247
140000	-20.25	-20.22	149	0.874	0.0001	3.050494933128357
150000	-20.23	-20.22	160	0.865	0.0001	3.008798106511434
160000	-20.24	-20.22	171	0.856	0.0001	3.0135061740875244
170000	-20.21	-20.2	181	0.847	0.0001	3.0308199803034466
180000	-20.18	-20.18	192	0.838	0.0001	2.998523922761281
190000	-20.25	-20.16	203	0.829	0.0001	3.0183783888816835
200000	-20.24	-20.16	213	0.82	0.0001	3.0408391753832498
210000	-20.28	-20.16	224	0.8109999999999999	0.0001	3.138578708966573
220000	-20.29	-20.16	236	0.802	0.0001	3.100518234570821
230000	-20.33	-20.16	246	0.7929999999999999	0.0001	3.6254812757174175
240000	-20.32	-20.16	257	0.784	0.0001	3.7760807474454245
250000	-20.3	-20.16	267	0.775	0.0001	3.8473490118980407
260000	-20.28	-20.16	277	0.766	0.0001	3.576855762799581
270000	-20.27	-20.16	288	0.757	0.0001	3.895120692253113
280000	-20.31	-20.16	298	0.748	0.0001	3.8024817228317263
290000	-20.3	-20.16	309	0.739	0.0001	3.6123885035514833
300000	-20.3	-20.16	320	0.73	0.0001	3.7670278906822205
310000	-20.22	-20.16	330	0.721	0.0001	2.9955709973971048
320000	-20.21	-20.16	340	0.712	0.0001	3.2961020350456236
330000	-20.26	-20.16	350	0.703	0.0001	3.4991828322410585
340000	-20.22	-20.16	361	0.694	0.0001	3.216314216454824
350000	-20.27	-20.16	371	0.685	0.0001	3.0775357723236083
360000	-20.27	-20.16	380	0.6759999999999999	0.0001	3.147497550646464
370000	-20.26	-20.16	390	0.667	0.0001	3.1226745367050173
380000	-20.2	-20.16	400	0.6579999999999999	0.0001	3.054307723045349
390000	-20.15	-20.15	410	0.649	0.0001	3.2981242537498474
400000	-20.13	-20.12	419	0.6399999999999999	0.0001	3.125934112071991
410000	-20.11	-20.1	428	0.631	0.0001	3.1817825476328534
420000	-20.13	-20.1	437	0.622	0.0001	3.064581783612569
430000	-20.09	-20.09	445	0.613	0.0001	3.270490912596385
440000	-20.0	-20.0	453	0.604	0.0001	3.323925423622131
450000	-19.97	-19.95	462	0.595	0.0001	3.2213074843088787
460000	-19.84	-19.84	469	0.586	0.0001	3.2554565111796063
470000	-19.82	-19.81	478	0.577	0.0001	3.44765012661616
480000	-19.78	-19.78	486	0.5680000000000001	0.0001	3.2618727922439574
490000	-19.66	-19.66	493	0.5589999999999999	0.0001	3.2079366644223533
500000	-19.52	-19.52	501	0.55	0.0001	3.770456624031067
510000	-19.42	-19.41	508	0.5409999999999999	0.0001	3.293510703245799
520000	-19.36	-19.36	515	0.532	0.0001	3.266323920090993
530000	-19.28	-19.25	523	0.5229999999999999	0.0001	3.2475552995999655
540000	-19.24	-19.24	530	0.514	0.0001	3.174111747741699
550000	-19.16	-19.16	537	0.5049999999999999	0.0001	3.293124576409658
560000	-19.05	-19.05	543	0.4959999999999999	0.0001	3.1990734100341798
570000	-18.99	-18.99	550	0.487	0.0001	3.182085112730662
580000	-18.83	-18.83	556	0.478	0.0001	3.273941985766093
590000	-18.75	-18.75	562	0.469	0.0001	3.1936458190282186
600000	-18.62	-18.62	568	0.45999999999999996	0.0001	3.177872876326243
610000	-18.45	-18.45	574	0.45099999999999996	0.0001	3.3481232047080995
620000	-18.29	-18.29	579	0.44199999999999995	0.0001	4.099711402257284
630000	-18.13	-18.13	585	0.43299999999999994	0.0001	3.9488896052042644
640000	-18.12	-18.1	590	0.42399999999999993	0.0001	3.923691960175832
650000	-17.92	-17.92	595	0.4149999999999999	0.0001	3.9758289019266764
660000	-17.8	-17.77	600	0.4059999999999999	0.0001	4.0006569465001425
670000	-17.76	-17.76	605	0.3969999999999999	0.0001	3.7988531867663067
680000	-17.65	-17.65	611	0.3879999999999999	0.0001	3.9987375100453693
690000	-17.6	-17.59	616	0.379	0.0001	4.0146724025408425
700000	-17.5	-17.5	620	0.37	0.0001	3.892947061856588
710000	-17.21	-17.21	624	0.361	0.0001	3.63910182317098
720000	-16.99	-16.99	628	0.352	0.0001	3.3335502982139587
730000	-16.81	-16.81	632	0.34299999999999997	0.0001	3.3128581206003824
740000	-16.72	-16.72	636	0.33399999999999996	0.0001	3.311467742919922
750000	-16.6	-16.6	641	0.32499999999999996	0.0001	3.3273314237594604
760000	-16.45	-16.45	645	0.31599999999999995	0.0001	3.27210160891215
770000	-16.29	-16.29	649	0.30699999999999994	0.0001	3.314126229286194
780000	-16.18	-16.13	653	0.29799999999999993	0.0001	3.3219212770462034
790000	-16.12	-16.12	657	0.2889999999999999	0.0001	3.3179347634315492
800000	-15.96	-15.96	661	0.2799999999999999	0.0001	3.5989365140597025
810000	-15.82	-15.82	664	0.2709999999999999	0.0001	3.313595716158549
820000	-15.7	-15.7	668	0.262	0.0001	3.3486246546109517
830000	-15.56	-15.56	672	0.253	0.0001	3.405961803595225
840000	-15.6	-15.56	675	0.244	0.0001	3.466912345091502
850000	-15.48	-15.48	678	0.235	0.0001	3.447129487991333
860000	-15.45	-15.45	682	0.22599999999999998	0.0001	3.4366825660069784
870000	-15.37	-15.37	685	0.21699999999999997	0.0001	3.433110543092092
880000	-15.23	-15.21	689	0.20799999999999996	0.0001	3.7812151432037355
890000	-15.16	-15.14	692	0.19899999999999995	0.0001	4.429777956008911
900000	-15.08	-15.08	695	0.18999999999999995	0.0001	3.7191025098164876
910000	-15.07	-15.07	699	0.18099999999999994	0.0001	3.5034379959106445
920000	-14.93	-14.93	702	0.17199999999999993	0.0001	3.4683446367581685
930000	-14.88	-14.83	706	0.16299999999999992	0.0001	3.4353806535402933
940000	-14.72	-14.72	708	0.15400000000000003	0.0001	3.5215095480283103
950000	-14.56	-14.56	712	0.14500000000000002	0.0001	3.5813583850860597
960000	-14.39	-14.39	714	0.136	0.0001	3.3985775907834372
970000	-14.3	-14.27	718	0.127	0.0001	3.492811890443166
980000	-14.35	-14.27	721	0.118	0.0001	4.066362249851227
990000	-14.43	-14.27	724	0.10899999999999999	0.0001	4.462312988440195
1000000	-14.43	-14.27	727	0.1	0.0001	4.3434131423632305
1010000	-14.38	-14.27	730	0.09982857142857143	0.0001	4.9731499989827475
1020000	-14.27	-14.27	733	0.09965714285714286	0.0001	3.7450032393137613
1030000	-14.15	-14.15	736	0.09948571428571429	0.0001	3.611862031618754
1040000	-13.97	-13.97	739	0.09931428571428572	0.0001	4.2386951843897505
1050000	-13.92	-13.92	741	0.09914285714285714	0.0001	4.217311978340149
1060000	-13.91	-13.89	744	0.09897142857142857	0.0001	3.521375624338786
1070000	-13.86	-13.86	747	0.0988	0.0001	3.880250600973765
1080000	-13.76	-13.76	750	0.09862857142857144	0.0001	3.5779810786247253
1090000	-13.61	-13.61	753	0.09845714285714287	0.0001	3.554210388660431
1100000	-13.56	-13.55	756	0.0982857142857143	0.0001	4.180808043479919
1110000	-13.43	-13.43	759	0.09811428571428572	0.0001	3.429952057202657
1120000	-13.31	-13.31	761	0.09794285714285715	0.0001	3.4711085478464763
1130000	-13.17	-13.1	764	0.09777142857142858	0.0001	3.52024773756663
1140000	-13.09	-13.09	767	0.0976	0.0001	3.548710366090139
1150000	-13.0	-13.0	769	0.09742857142857143	0.0001	3.462155556678772
1160000	-12.95	-12.95	772	0.09725714285714286	0.0001	3.5074963132540384
1170000	-12.85	-12.85	775	0.09708571428571429	0.0001	3.4589714209238687
1180000	-12.89	-12.83	779	0.09691428571428572	0.0001	3.456010619799296
1190000	-12.86	-12.83	782	0.09674285714285714	0.0001	3.484529356161753
1200000	-12.83	-12.82	785	0.09657142857142857	0.0001	3.9279573798179626
1210000	-12.74	-12.74	788	0.0964	0.0001	4.50533375342687
1220000	-12.59	-12.59	791	0.09622857142857143	0.0001	4.32073081334432
1230000	-12.62	-12.59	794	0.09605714285714287	0.0001	3.6105298519134523
1240000	-12.42	-12.42	797	0.0958857142857143	0.0001	3.4292402704556784
1250000	-12.21	-12.21	799	0.09571428571428572	0.0001	3.4213400880495706
1260000	-12.27	-12.2	803	0.09554285714285715	9.99e-05	3.473951506614685
1270000	-12.13	-12.13	806	0.09537142857142858	9.98e-05	3.4480529546737673
1280000	-12.26	-12.13	809	0.0952	9.970000000000001e-05	3.4446870644887286
1290000	-12.2	-12.13	812	0.09502857142857143	9.960000000000001e-05	3.4214314818382263
1300000	-12.17	-12.13	815	0.09485714285714286	9.95e-05	4.154121267795563
1310000	-11.96	-11.96	817	0.09468571428571429	9.94e-05	4.079832541942596
1320000	-11.64	-11.64	820	0.09451428571428572	9.93e-05	3.6823215524355573
1330000	-11.45	-11.45	822	0.09434285714285714	9.92e-05	3.697808027267456
1340000	-11.31	-11.31	824	0.09417142857142857	9.910000000000001e-05	4.57099750439326
1350000	-10.94	-10.94	827	0.094	9.900000000000001e-05	4.304915364583334
1360000	-10.83	-10.83	829	0.09382857142857143	9.89e-05	4.1835720300674435
1370000	-10.82	-10.82	832	0.09365714285714286	9.88e-05	4.371505641937256
1380000	-10.77	-10.77	835	0.0934857142857143	9.87e-05	4.359831698735555
1390000	-10.74	-10.72	837	0.09331428571428572	9.860000000000001e-05	4.350910973548889
1400000	-10.59	-10.59	840	0.09314285714285715	9.850000000000001e-05	4.444066226482391
1410000	-10.36	-10.36	842	0.09297142857142858	9.84e-05	4.196319635709127
1420000	-10.16	-10.16	844	0.09280000000000001	9.83e-05	3.643561029434204
1430000	-10.01	-10.01	847	0.09262857142857144	9.82e-05	3.438756207625071
1440000	-9.82	-9.82	849	0.09245714285714286	9.81e-05	3.437186670303345
1450000	-9.76	-9.69	852	0.09228571428571429	9.800000000000001e-05	3.5741167108217877
1460000	-9.69	-9.62	855	0.09211428571428572	9.790000000000001e-05	3.6563730279604596
1470000	-9.58	-9.58	858	0.09194285714285715	9.78e-05	3.6252362012863157
1480000	-9.45	-9.45	860	0.09177142857142857	9.77e-05	3.5352459192276
1490000	-9.5	-9.45	863	0.0916	9.76e-05	3.595633292198181
1500000	-9.52	-9.45	866	0.09142857142857143	9.75e-05	3.484013092517853
1510000	-9.39	-9.39	868	0.09125714285714286	9.740000000000001e-05	3.5304951508839926
1520000	-9.36	-9.33	870	0.0910857142857143	9.730000000000001e-05	3.707370173931122
1530000	-9.34	-9.29	873	0.09091428571428573	9.72e-05	3.5097302238146466
1540000	-9.23	-9.23	875	0.09074285714285715	9.71e-05	3.79246058066686
1550000	-8.98	-8.98	878	0.09057142857142858	9.7e-05	3.5455979108810425
1560000	-8.73	-8.73	880	0.09040000000000001	9.690000000000001e-05	3.5803704539934795
1570000	-8.45	-8.45	883	0.09022857142857144	9.680000000000001e-05	3.6886058688163756
1580000	-8.24	-8.24	886	0.09005714285714286	9.67e-05	3.6818004568417866
1590000	-8.1	-8.08	888	0.08988571428571429	9.66e-05	3.6147053837776184
1600000	-7.98	-7.98	890	0.08971428571428572	9.65e-05	3.579969620704651
1610000	-7.75	-7.75	893	0.08954285714285715	9.64e-05	3.550374718507131
1620000	-7.69	-7.59	895	0.08937142857142857	9.630000000000001e-05	3.516353706518809
1630000	-7.55	-7.48	898	0.0892	9.620000000000001e-05	3.897422389189402
1640000	-7.25	-7.25	900	0.08902857142857143	9.61e-05	3.67277615070343
1650000	-7.15	-7.15	902	0.08885714285714286	9.6e-05	3.5478219111760456
1660000	-6.84	-6.84	905	0.08868571428571428	9.59e-05	3.4985963344573974
1670000	-6.54	-6.54	907	0.08851428571428571	9.58e-05	3.9010249376296997
1680000	-6.3	-6.3	910	0.08834285714285715	9.570000000000001e-05	3.771792475382487
1690000	-6.02	-6.02	912	0.08817142857142858	9.56e-05	3.900279331207275
1700000	-5.83	-5.83	914	0.08800000000000001	9.55e-05	4.590290824572246
1710000	-5.61	-5.61	916	0.08782857142857144	9.54e-05	4.466922318935394
1720000	-5.53	-5.52	918	0.08765714285714286	9.53e-05	4.254257071018219
1730000	-5.48	-5.48	921	0.08748571428571429	9.520000000000001e-05	3.7240467270215354
1740000	-5.37	-5.37	923	0.08731428571428572	9.510000000000001e-05	3.4874669273694354
1750000	-5.35	-5.35	925	0.08714285714285715	9.5e-05	3.5261470834414164
1760000	-5.42	-5.3	927	0.08697142857142857	9.49e-05	4.335548937320709
1770000	-5.25	-5.25	929	0.0868	9.48e-05	3.9437492648760477
1780000	-4.77	-4.77	932	0.08662857142857143	9.47e-05	3.5861644466718037
1790000	-4.51	-4.51	934	0.08645714285714286	9.460000000000001e-05	3.472271267573039
1800000	-4.31	-4.31	936	0.08628571428571429	9.45e-05	3.9820271213849385
1810000	-3.96	-3.96	939	0.08611428571428573	9.44e-05	4.044407204786936
1820000	-3.73	-3.68	942	0.08594285714285715	9.43e-05	4.3966644684473675
1830000	-3.76	-3.68	944	0.08577142857142858	9.42e-05	3.8075172742207846
1840000	-3.35	-3.35	947	0.08560000000000001	9.410000000000001e-05	3.5216126163800556
1850000	-3.0	-3.0	950	0.08542857142857144	9.400000000000001e-05	3.5818360010782877
1860000	-2.28	-2.28	954	0.08525714285714286	9.39e-05	3.630655093987783
1870000	-1.73	-1.73	956	0.08508571428571429	9.38e-05	3.4551634987195334
1880000	-1.09	-1.09	960	0.08491428571428572	9.37e-05	3.5084927042325336
1890000	-0.58	-0.58	963	0.08474285714285715	9.36e-05	3.4964599609375
1900000	-0.1	-0.1	965	0.08457142857142858	9.350000000000001e-05	3.5197632710138955
1910000	0.16	0.16	968	0.0844	9.340000000000001e-05	3.4122516473134357
1920000	0.6	0.6	971	0.08422857142857143	9.33e-05	3.5510955611864725
1930000	0.9	0.9	973	0.08405714285714286	9.32e-05	3.622371713320414
1940000	1.3	1.3	976	0.08388571428571429	9.31e-05	3.7060599247614543
1950000	1.53	1.53	979	0.08371428571428571	9.300000000000001e-05	3.455712099870046
1960000	1.83	1.83	982	0.08354285714285714	9.290000000000001e-05	3.9087085366249084
1970000	2.24	2.24	984	0.08337142857142857	9.28e-05	3.914688193798065
1980000	2.54	2.54	987	0.0832	9.27e-05	3.4694546977678935
1990000	2.95	2.95	990	0.08302857142857142	9.26e-05	3.665783953666687
2000000	3.4	3.4	993	0.08285714285714287	9.25e-05	3.8643765846888223
2010000	3.65	3.68	996	0.08268571428571429	9.240000000000001e-05	4.108324480056763
2020000	3.99	3.99	999	0.08251428571428572	9.230000000000001e-05	4.239628601074219
2030000	4.24	4.24	1001	0.08234285714285715	9.22e-05	4.157813660303751
2040000	4.66	4.66	1004	0.08217142857142858	9.21e-05	3.631662674744924
2050000	4.93	4.93	1007	0.082	9.2e-05	3.8110409339269
2060000	5.69	5.69	1012	0.08182857142857143	9.190000000000001e-05	3.776341426372528
2070000	6.01	6.01	1015	0.08165714285714286	9.180000000000001e-05	3.629054868221283
2080000	6.64	6.64	1019	0.08148571428571429	9.17e-05	3.595136026541392
2090000	6.99	6.99	1022	0.08131428571428571	9.16e-05	3.6924060861269634
2100000	7.54	7.54	1025	0.08114285714285714	9.15e-05	3.5883578101793927
2110000	8.34	8.34	1029	0.08097142857142857	9.14e-05	3.658644978205363
2120000	8.78	8.78	1033	0.08080000000000001	9.130000000000001e-05	3.6107576370239256
2130000	8.96	8.96	1036	0.08062857142857144	9.120000000000001e-05	3.5088536739349365
2140000	9.12	9.12	1039	0.08045714285714287	9.11e-05	4.112422633171081
2150000	9.63	9.63	1043	0.0802857142857143	9.1e-05	3.6978987375895183
2160000	9.99	9.99	1047	0.08011428571428572	9.09e-05	3.501033945878347
2170000	10.18	10.18	1050	0.07994285714285715	9.080000000000001e-05	3.7950442314147947
2180000	10.31	10.31	1054	0.07977142857142858	9.070000000000001e-05	3.8234899838765464
2190000	10.34	10.34	1058	0.0796	9.06e-05	3.5283331751823424
2200000	10.3	10.34	1061	0.07942857142857143	9.05e-05	3.5133586168289184
2210000	10.49	10.54	1065	0.07925714285714286	9.04e-05	3.413515365123749
2220000	10.61	10.61	1068	0.07908571428571429	9.03e-05	3.6405815800031025
2230000	11.05	11.05	1072	0.07891428571428571	9.02e-05	3.507409123579661
2240000	11.11	11.11	1075	0.07874285714285714	9.010000000000001e-05	3.4268027941385903
2250000	11.35	11.35	1079	0.07857142857142857	9e-05	3.4059219479560854
2260000	11.73	11.74	1083	0.0784	8.99e-05	3.9312590758005777
2270000	11.78	11.78	1086	0.07822857142857143	8.98e-05	3.443904678026835
2280000	12.03	12.03	1090	0.07805714285714285	8.970000000000001e-05	3.4556519349416095
2290000	12.18	12.18	1093	0.07788571428571428	8.960000000000001e-05	3.4798198978106183
2300000	12.61	12.61	1098	0.07771428571428571	8.950000000000001e-05	3.3937331159909565
2310000	12.89	12.89	1102	0.07754285714285715	8.94e-05	3.420340041319529
2320000	13.09	13.09	1106	0.07737142857142858	8.93e-05	3.4370333592096967
2330000	13.24	13.24	1109	0.0772	8.92e-05	3.40206964413325
2340000	13.09	13.24	1113	0.07702857142857143	8.91e-05	3.4924352089564006
2350000	13.07	13.24	1116	0.07685714285714286	8.900000000000001e-05	3.51724781592687
2360000	13.05	13.24	1119	0.07668571428571429	8.89e-05	3.428037448724111
2370000	13.06	13.24	1123	0.07651428571428572	8.88e-05	3.4323295672734577
2380000	13.21	13.24	1127	0.07634285714285714	8.87e-05	3.42884198029836
2390000	13.14	13.24	1131	0.07617142857142857	8.86e-05	3.488943870862325
2400000	13.33	13.33	1135	0.076	8.850000000000001e-05	3.4840684215227764
2410000	13.69	13.69	1139	0.07582857142857144	8.840000000000001e-05	3.4760627786318463
2420000	13.85	13.85	1143	0.07565714285714287	8.83e-05	3.4693419019381206
2430000	14.02	14.02	1147	0.0754857142857143	8.82e-05	3.4928377548853557
2440000	14.13	14.13	1151	0.07531428571428572	8.81e-05	4.226670730113983
